name,year,latitude,longitude
Home,2013,4.725998,-74.057093
Home,2014,4.725998,-74.057093
Home,2015,4.725998,-74.057093
Home,2016,4.742907,-74.056677
Home,2017,4.742447,-74.056449
Home,2018,4.742425,-74.056465
Home,2019,4.742413,-74.056358
Home,2020,4.742381,-74.056358
Home,2021,4.742381,-74.056358
Home,2022,4.742541,-74.056488
Home,2024,4.742907,-74.056677
Home,2025,8.978997,-79.526929
Home,2026,4.742654,-74.056415
Inferred Home,2015,4.725998,-74.057093
Inferred Work,2013,4.660118,-74.108318
Inferred Work,2014,4.626993,-74.064095
Inferred Work,2015,4.684305,-74.052724
Inferred Work,2017,4.600447,-74.074186
Inferred Work,2022,4.731991,-74.044012
Searched Address,2017,-54.81109,-68.336773
Searched Address,2018,-34.614476,-58.377608
Searched Address,2019,4.743266,-74.06423
Searched Address,2020,4.736202,-74.057589
Searched Address,2021,4.731489,-74.043952
Searched Address,2022,40.698041,-73.908749
Searched Address,2023,4.731424,-74.043943
Searched Address,2024,5.63626,-73.520807
Searched Address,2026,41.889604,-87.62297
Unknown,2013,4.659418,-74.108378
Unknown,2014,6.404117,-72.443129
Unknown,2015,6.40782,-72.44596
Unknown,2016,4.743089,-74.047238
Unknown,2017,4.740363,-74.05838
Unknown,2018,-54.692374,-68.12969
Unknown,2019,6.308117,-72.682514
Unknown,2020,6.331448,-72.681324
Unknown,2021,4.732867,-74.066171
Unknown,2022,4.731991,-74.044012
Unknown,2023,4.738671,-74.0654
Unknown,2024,5.990577,-72.909307
Unknown,2025,8.978997,-79.526929
Unknown,2026,4.732675,-74.066645
Work,2013,4.684305,-74.052724
Work,2014,4.684305,-74.052724
Work,2015,4.684305,-74.052724
Work,2016,4.68437,-74.052716
Work,2017,4.684407,-74.052636
Work,2018,4.600532,-74.074242
Work,2019,4.600365,-74.074083
Work,2020,4.600365,-74.074083
Work,2021,4.600306,-74.073985
Work,2022,4.681488,-74.043527
Work,2023,4.654249,-74.05533
Work,2024,4.654249,-74.05533
Work,2025,8.977571,-79.522905
Work,2026,4.694634,-74.032175
