city,state,country,latitude,longitude,last_visit,visit_count
Bogotá,Bogota D.C.,CO,4.742654,-74.056415,2026-08-12 17:29:48.267000+00:00,13694
Tampa,Florida,US,27.980365,-82.535403,2026-08-07 17:21:58.558000+00:00,114
Orlando,Florida,US,28.370568,-81.519359,2026-08-05 16:42:18+00:00,81
Chicago,Illinois,US,41.980259,-87.908986,2026-06-08 00:36:41.928000+00:00,63
Panama City,Panama,PA,9.06739,-79.386346,2025-12-21 17:14:13.019000+00:00,1530
Mobile,Alabama,US,30.634232,-87.676635,2024-06-26 15:32:37.012000+00:00,3
Baton Rouge,Louisiana,US,30.45189,-90.957245,2024-06-26 00:52:25.139000+00:00,3
Houston,Texas,US,29.73268,-94.957536,2024-06-25 19:57:46.291000+00:00,17
Beaumont,Texas,US,30.130442,-93.882513,2024-06-23 16:23:38+00:00,1
New Orleans,Louisiana,US,29.9944,-90.154395,2024-06-23 05:32:08.220000+00:00,18
Chipley,Florida,US,30.752086,-85.551172,2024-06-21 14:13:12+00:00,1
Madison,Florida,US,30.368468,-83.244021,2024-06-21 11:46:23.071000+00:00,1
Medellín,Antioquia,CO,6.17149,-75.427945,2023-10-23 20:54:07.372000+00:00,35
Merritt Island,Florida,US,28.574357,-80.652037,2023-06-28 13:06:05.999000+00:00,1
New York City,New York,US,40.641311,-73.778138,2022-10-27 19:06:18.445000+00:00,74
Providence,Rhode Island,US,41.484042,-71.560675,2022-10-27 14:10:32+00:00,23
Ibagué,Tolima,CO,4.418044,-75.178996,2022-03-19 13:16:21.999000+00:00,29
Inirida,Guainia,CO,3.852868,-67.906616,2021-12-20 17:10:19.020000+00:00,2
Barranquilla,Atlantico,CO,10.886533,-74.776478,2021-07-10 05:03:44+00:00,1
Miami,Florida,US,25.795146,-80.279509,2021-07-09 23:54:14.507000+00:00,72
Port Saint Lucie,Florida,US,27.413682,-80.39778,2021-07-07 00:26:13+00:00,3
Cali,Valle del Cauca,CO,3.535649,-76.387041,2021-07-02 04:11:49+00:00,72
Dallas,Texas,US,32.904874,-97.035704,2020-02-24 22:44:55+00:00,4
Tijuana,Baja California,MX,32.733801,-117.193304,2020-02-24 16:40:27.270000+00:00,27
Los Angeles,California,US,33.983099,-118.229772,2020-02-22 16:28:41.670000+00:00,27
San Jose,California,US,36.963744,-122.042533,2020-02-19 23:48:29+00:00,1
San Francisco,California,US,37.625162,-122.446781,2020-02-19 22:14:52.794000+00:00,34
Gustine,California,US,37.109981,-121.014678,2020-02-18 07:10:59.134000+00:00,2
Huron,California,US,36.253559,-120.238927,2020-02-18 05:53:11.102000+00:00,1
Lancaster,California,US,35.050071,-118.172504,2020-02-18 03:05:33.214000+00:00,1
Barstow,California,US,34.96627,-116.643363,2020-02-18 01:20:48.278000+00:00,2
Las Vegas,Nevada,US,36.170019,-115.139923,2020-02-17 20:49:57+00:00,32
New Kingman-Butler,Arizona,US,35.177913,-113.788806,2020-02-16 19:11:25.282000+00:00,1
Flagstaff,Arizona,US,35.191607,-111.721665,2020-02-16 17:25:12+00:00,2
Page,Arizona,US,36.90511,-111.487195,2020-02-16 01:48:50+00:00,11
Enterprise,Nevada,US,35.607992,-115.388161,2020-02-15 01:51:59.261000+00:00,2
Mexico City,Mexico City,MX,19.436076,-99.071908,2020-02-13 22:37:29.064000+00:00,4
Washington,"Washington, D.C.",US,38.953116,-77.456539,2019-11-10 09:00:48.386000+00:00,34
Cartagena,Bolivar,CO,10.446315,-75.516454,2018-09-02 17:35:44.596000+00:00,9
Buenos Aires,Buenos Aires F.D.,AR,-34.815004,-58.534828,2018-01-10 17:54:50.716000+00:00,40
El Calafate,Santa Cruz,AR,-50.283977,-72.053641,2018-01-06 21:35:29.329000+00:00,14
Rio Turbio,Santa Cruz,AR,-51.094021,-72.986931,2018-01-04 18:08:07.612000+00:00,1
Ushuaia,Tierra del Fuego,AR,-54.842237,-68.309701,2018-01-02 17:10:57.727000+00:00,19
Lima,Lima,PE,-12.024053,-77.112036,2017-12-28 01:57:19.942000+00:00,23
Cusco,Cusco,PE,-13.538026,-71.94365,2016-07-18 17:25:22.014000+00:00,48
San Pedro De Cachora,Apurimac,PE,-13.639266,-72.885239,2016-07-17 12:12:08.839000+00:00,1
Nazca,Ica,PE,-14.828261,-74.942755,2016-07-17 01:07:31.032000+00:00,10
Juliaca,Puno,PE,-15.843619,-70.017258,2016-07-13 13:00:02.392000+00:00,11
Tirapata,Puno,PE,-15.045394,-70.372485,2016-07-10 19:41:39.948000+00:00,1
Layo,Cusco,PE,-14.483353,-70.989136,2016-07-10 18:05:00.026000+00:00,2
Pereira,Risaralda,CO,4.815703,-75.736331,2016-04-22 22:28:39.556000+00:00,15
San Salvador,San Salvador,SV,13.441558,-89.055802,2016-02-12 12:51:45.422000+00:00,12
Leticia,Amazonas,CO,-4.191141,-69.941412,2015-12-12 04:09:05.158000+00:00,11
Quito,Pichincha,EC,-0.122588,-78.358558,2014-07-20 18:40:22.877000+00:00,1
